,Unnamed: 0,Delivery Week,Producer Code,Product ID,Product,Quantity,Cost,Price
73,73,7/11/2022,KSL,3362,"Cucumbers, Pickling",11,2400,2664
74,74,7/11/2022,YMF,3754,"Cabbage, Red",5,4075,4523
75,75,7/11/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745
76,76,7/11/2022,YMF,3362,"Cucumbers, Pickling",11,2400,2664
77,77,7/11/2022,ONC,3754,"Cabbage, Red",5,4075,4523
78,78,7/11/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829
79,79,7/11/2022,D2D,3182,"Squash, Summer, Patty Pan",18,2400,2664
80,80,7/11/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745
81,81,7/11/2022,CHO,3182,"Squash, Summer, Patty Pan",22,2400,2664
82,82,7/11/2022,HAF,3362,"Cucumbers, Pickling",11,2400,2664
83,83,7/11/2022,SXF,3362,"Cucumbers, Pickling",11,2400,2664
84,84,7/11/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829
85,85,7/11/2022,CLP,3182,"Squash, Summer, Patty Pan",18,2400,2664
86,86,7/11/2022,CMA,3754,"Cabbage, Red",5,4075,4523
87,87,7/11/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829
88,88,7/11/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745
89,89,7/11/2022,LDX,3754,"Cabbage, Red",5,4075,4523
90,90,7/11/2022,MHG,3362,"Cucumbers, Pickling",11,2400,2664
91,91,7/11/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745
92,92,7/11/2022,CHO,3362,"Cucumbers, Pickling",11,2400,2664
93,93,7/18/2022,RSV,3362,"Cucumbers, Pickling",11,2400,2664
94,94,7/18/2022,JWI,3809,"Beans, Green, Yellow or Purple",7,7100,7881
95,95,7/18/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829
96,96,7/18/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829
97,97,7/18/2022,ONC,3754,"Cabbage, Red",5,4075,4523
98,98,7/18/2022,CHO,3182,"Squash, Summer, Patty Pan",22,2400,2664
99,99,7/18/2022,TXI,3362,"Cucumbers, Pickling",11,2400,2664
100,100,7/18/2022,D2D,3182,"Squash, Summer, Patty Pan",18,2400,2664
101,101,7/18/2022,YMF,3754,"Cabbage, Red",5,4075,4523
102,102,7/18/2022,NTN,3813,"Greens, Kale-24 ct",10,4275,4745
103,103,7/18/2022,CLP,3362,"Cucumbers, Pickling",11,2400,2664
104,104,7/18/2022,D2D,3813,"Greens, Kale-24 ct",5,4275,4745
105,105,7/18/2022,CMA,3754,"Cabbage, Red",5,4075,4523
106,106,7/18/2022,MHA,3362,"Cucumbers, Pickling",11,2400,2664
107,107,7/18/2022,LDX,3754,"Cabbage, Red",5,4075,4523
108,108,7/18/2022,HOP,3362,"Cucumbers, Pickling",11,2400,2664
109,109,7/18/2022,MLG,3809,"Beans, Green, Yellow or Purple",5,7100,7881
110,110,7/18/2022,LOF,3362,"Cucumbers, Pickling",11,2400,2664
111,111,7/18/2022,CMA,3813,"Greens, Kale-24 ct",5,4275,4745
112,112,7/18/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829
113,113,7/18/2022,CLP,3182,"Squash, Summer, Patty Pan",18,2400,2664
114,114,7/18/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,7100,7881
115,115,7/18/2022,RSV,3809,"Beans, Green, Yellow or Purple",6,7100,7881
116,116,7/18/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745
117,117,7/18/2022,JWI,3813,"Greens, Kale-24 ct",5,4275,4745
118,118,7/18/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,7100,7881
119,119,7/25/2022,LEE,3809,"Beans, Green, Yellow or Purple",10,7100,7881
120,120,7/25/2022,BXF,3669,"Greens, Chard-24 ct",15,4275,4745
121,121,7/25/2022,ONC,3669,"Greens, Chard-24 ct",5,4275,4745
122,122,7/25/2022,CBO,3669,"Greens, Chard-24 ct",5,4275,4745
123,123,7/25/2022,TEB,3099,Beets w/greens,10,4325,4801
124,124,7/25/2022,KSL,3362,"Cucumbers, Pickling",11,2400,2664
125,125,7/25/2022,CHO,3362,"Cucumbers, Pickling",11,2400,2664
126,126,7/25/2022,CVP,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913
127,127,7/25/2022,LVO,3138,"Greens, Collard-24 ct",5,4275,4745
128,128,7/25/2022,JWI,3138,"Greens, Collard-24 ct",5,4275,4745
129,129,7/25/2022,MLG,3809,"Beans, Green, Yellow or Purple",10,7100,7881
130,130,7/25/2022,D2D,3182,"Squash, Summer, Patty Pan",18,2400,2664
131,131,7/25/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745
132,132,7/25/2022,CMA,3138,"Greens, Collard-24 ct",5,4275,4745
133,133,7/25/2022,CLP,3813,"Greens, Kale-24 ct",10,4275,4745
134,134,7/25/2022,CMU,3138,"Greens, Collard-24 ct",10,4275,4745
135,135,7/25/2022,SXF,3362,"Cucumbers, Pickling",11,2400,2664
136,136,7/25/2022,LOF,3813,"Greens, Kale-24 ct",5,4275,4745
137,137,7/25/2022,CLP,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913
138,138,7/25/2022,MLG,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913
139,139,7/25/2022,TXI,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913
140,140,7/25/2022,LVO,3669,"Greens, Chard-24 ct",5,4275,4745
141,141,7/25/2022,CMA,3278,"Radishes, bunched-24 ct",10,4350,4829
142,142,7/25/2022,HAF,3362,"Cucumbers, Pickling",11,2400,2664
143,143,7/25/2022,MMO,3669,"Greens, Chard-24 ct",15,4275,4745
144,144,7/25/2022,YMF,3809,"Beans, Green, Yellow or Purple",10,7100,7881
145,145,7/25/2022,D2D,3138,"Greens, Collard-24 ct",10,4275,4745
146,146,7/25/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829
147,147,7/25/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829
148,148,7/25/2022,YMF,3362,"Cucumbers, Pickling",11,2400,2664
149,149,7/25/2022,ONC,3809,"Beans, Green, Yellow or Purple",10,7100,7881
150,150,7/25/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829
151,151,7/25/2022,CHO,3182,"Squash, Summer, Patty Pan",22,2400,2664
152,152,7/25/2022,HOP,3099,Beets w/greens,20,4325,4801
153,153,7/25/2022,YMF,3099,Beets w/greens,20,4325,4801
154,154,7/25/2022,CBO,3278,"Radishes, bunched-24 ct",10,4350,4829
155,155,7/25/2022,CLP,3182,"Squash, Summer, Patty Pan",18,2400,2664
156,156,7/25/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,7100,7881
157,157,7/25/2022,RSV,3809,"Beans, Green, Yellow or Purple",10,7100,7881
158,158,7/25/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829
159,159,7/25/2022,MHG,3362,"Cucumbers, Pickling",11,2400,2664
160,160,7/25/2022,BXF,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913
161,161,7/25/2022,MMO,3813,"Greens, Kale-24 ct",5,4275,4745
162,162,7/25/2022,SXF,3826,"Greens, Sweet Potato Leaves-12 ct",50,3525,3913
163,163,7/25/2022,HAF,3809,"Beans, Green, Yellow or Purple",5,7100,7881
164,164,7/25/2022,CBO,3138,"Greens, Collard-24 ct",5,4275,4745
165,165,7/25/2022,CBO,3813,"Greens, Kale-24 ct",5,4275,4745
166,166,7/25/2022,CMA,3669,"Greens, Chard-24 ct",5,4275,4745
167,167,7/25/2022,D2D,3809,"Beans, Green, Yellow or Purple",10,7100,7881
168,168,7/25/2022,CHO,3809,"Beans, Green, Yellow or Purple",10,7100,7881
169,169,7/25/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,7100,7881
170,170,7/25/2022,BXF,3138,"Greens, Collard-24 ct",10,4275,4745
171,171,8/1/2022,CLP,3362,"Cucumbers, Pickling",11,2400,2664
172,172,8/1/2022,CBS,3404,Tomatillos,66,3275,3635
173,173,8/1/2022,MHA,3362,"Cucumbers, Pickling",11,2400,2664
174,174,8/1/2022,CMA,3669,"Greens, Chard-24 ct",5,4275,4745
175,175,8/1/2022,LVO,3669,"Greens, Chard-24 ct",5,4275,4745
176,176,8/1/2022,CBS,3404,Tomatillos,20,3275,3635
177,177,8/1/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,7100,7881
178,178,8/1/2022,YMF,3754,"Cabbage, Red",5,4075,4523
179,179,8/1/2022,CMA,3754,"Cabbage, Red",5,4075,4523
180,180,8/1/2022,SXF,3826,"Greens, Sweet Potato Leaves-12 ct",50,3525,3913
181,181,8/1/2022,CMA,3754,"Cabbage, Red",5,4075,4523
182,182,8/1/2022,TXI,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913
183,183,8/1/2022,SRF,3809,"Beans, Green, Yellow or Purple",15,7100,7881
184,184,8/1/2022,JWI,3138,"Greens, Collard-24 ct",5,4275,4745
185,185,8/1/2022,CMA,3138,"Greens, Collard-24 ct",5,4275,4745
186,186,8/1/2022,HAF,3809,"Beans, Green, Yellow or Purple",5,7100,7881
187,187,8/1/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,7100,7881
188,188,8/1/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745
189,189,8/1/2022,BXF,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913
190,190,8/1/2022,CHO,3809,"Beans, Green, Yellow or Purple",10,7100,7881
